text,category
"Subject: dermatology , neurology , pathology ,
the new 2005 united states
healthcare database .
in a rapidly - changing industry , current healthcare information is an
invaluable resource to businesses and organizations . the united states
healthcare database includes comprehensive information on more than
7 , 000 hospitals , 25 , 000 nursing homes and 400 , 000 doctors . it is the
most extensive and reliable mailing list and database of key decision
makers in the health care market .
each record is indexed by such features as name , address , phone and fax .
the database is available in excel format on cd rom . it is designed for
mailing lists and merges . the data can be selected by state or other
criteria such as type of practice . it can be used on an unlimited basis .
for the past 14 years , medcom has maintained the most comprehensive
healthcare lists . our directories are 100 % telephone verified and
updated every quarter . medcom continues to hold the nation ' s most
extensive and reliable databases of key decision - makers in the health
care market .
available exclusively on cd - rom ( excel ) , the data can be used on an
unlimited basis . it is easily exportable to other programs for mailing
or faxing purposes .
for a limited time , this extensive database is offered at an introductory
price of $ 195 ( reg . $ 745 ) .
to order , please print this e - mail , complete the information below and
fax it to 416 - 765 - 0029 ( tel : 416 - 765 - 0028 ) .
name :
title :
organization :
address :
city :
state :
postal :
tel :
fax :
email :
",scam
"Subject: from 17 because
paliourg , #
valiumxanaxcialis and _ more
get hydrocodone , or soma . ~
2 of the best pain killers out !
please lqqk
http : / / www . 545 . ranking 299 pill . biz / bl 2
- -
kenneth edit ambrosial antisemite minefield plug testament fissure lava adoptive exclusion bile coolant heavy intrepid .
",scam
"Subject: re : wholesale volumes
texas has a 42 % increase year to year , a 22 % increase qtr . to qtr . and a 30 %
increase mo . to mo . the yr . to yr . and qtr to qtr increases can be explained
by an increase in eol transactions and entex taking more gas . the mo . to mo .
increase is attributable to increase eol transactions and tufco taking more
gas .
dave
enron north america corp .
from : misti day 06 / 15 / 2000 12 : 19 pm
to : david baumbach / hou / ect @ ect
cc :
subject : wholesale volumes
it ' s that time again for the monthly and quarterly volumetric explanations !
the database for may is now ready for viewing . just as a reminder , this is
the shortcut on your desktop called "" statistical database "" .
as there is continued investor focus on our wholesale operations , investor
relations requests that business analysis & reporting provide monthly
volumetric analysis for wholesale operations in addition to the quarterly
analysis . please review the analysis for may 2000 and provide explanations
for all material changes ( + / - 10 % ) for the year / year , quarter / quarter , and
month / month variances . the current objective of investor relations is to use
this analysis as a resource to answer potential investor or analyst
questions , but it may be used for ad hoc requests and presentations . it is
essential that the volumes be verified by commercial personnel .
please forward your verification and explanations via e - mail to me by 10 : 00 am
on monday , june 19 . please feel free to call with any questions .
thanks ,
misti day
x 39525",safe
"Subject: blue dolpin / august and september 2001
darren ,
i received another invoice for september production for blue dolphin . are we responsible for transportation fees for september and future production months ? also , do the dehydration fees ( mei ) apply to aep as well ? currently , the august invoices have not been paid . if ena upstream is not responsible , let me know who / where i should forward the invoices .
- - - - - original message - - - - -
from : olsen , michael
sent : friday , october 05 , 2001 1 : 18 pm
to : beale , antoinette
subject : re : blue dolpin august 2001
we have no activity with blue dolphin . this has got to be aep , old hpl business .
- - - - - original message - - - - -
from : beale , antoinette
sent : friday , october 05 , 2001 11 : 39 am
to : olsen , michael
cc : chance , lee ann
subject : blue dolpin august 2001
mike ,
i have received an invoice from blue dolphin for august 2001 . nothing is scheduled in ena or upstream for august production . let me know your thoughts on the matter .
thanks !",safe
"Subject: thank you for selecting quickenloans !
hello jerry ,
thank you for submitting your loan information to quickenloans . all of the
information you provided will be kept strictly confidential . my name is
daniel jenuwine , and i have been assigned to be your personal mortgage banker .
your application number is : 4611454237
please keep this number handy when corresponding with us regarding your loan
application .
so what happens next ?
1 . i will be contacting you within 24 hours * to introduce myself and review
your information with you .
2 . your application will then be submitted to our rocketloan system for a
quick approval .
3 . i will request the documentation required to meet the conditions of your
approval .
4 . we will deliver your loan package containing your application and written
confirmation of your loan terms to you within 48 hours .
if you have any questions please email me at
daniel _ jenuwine @ quickenloans . com , or call 1 - 800 - 226 - 6308 and ask for daniel
jenuwine .
* hours of operation for our quickenloans customer service center are 8 : 00 a . m .
- 9 : 00 p . m . ( est ) monday - thursday , 8 : 00 a . m . - 7 : 00 p . m . ( est ) friday , and
10 : 00 a . m . - 4 : 00 p . m . ( est ) saturday . all applications submitted after hours
will be handled the next working business day .
have a great day !
daniel jenuwine
quicken loans
phone : 1 - 800 - 226 - 6308 extension 57531
email : daniel _ jenuwine @ quickenloans . com
http : / / www . quickenloans . com",safe
"Subject: free mortgage quotes
you want to free yourself from the debt .
with us it is easy as 1 - 2 - 3
you say what you need we find it for you
you can get best deals here .
",scam
"Subject: relocate to the usa ! get a green card easily !
benthic immaturedirty eclogue conferringbract
nightshirt utensilcyrillic schist tananarivevendor
basilar manfredexpertise sheet sternumcommodious
prowess vhfavuncular elysee lodestonecompulsory
momenta imagenrepairmen",scam
"Subject: re : epgt
daren - what about february 2000 ? it doesn ' t look like it ' s been pathed for hpl and chan .
please let me know . thanks , gloria
- - - - - original message - - - - -
from : farmer , daren j .
sent : monday , june 25 , 2001 5 : 16 pm
to : barkowsky , gloria g .
subject : re : epgt
deal 871172 has been pathed from the texas side .
d
- - - - - original message - - - - -
from : barkowsky , gloria g .
sent : friday , june 22 , 2001 4 : 50 pm
to : garcia , clarissa ; farmer , daren j . ; dinari , sabra l .
subject : epgt
clarissa - thanks so much for all your help with this pipe ! everything looks great . i just have a couple of paths
that i need to finish it :
january 2000 - i need deal # 854688 pathed for epgt and for tetc . according to the invoice , we should have
11 , 129 dth on the interconnect .
february 2000 - i need deal # 871184 pathed for hpl and chan . hpl should have 3 , 600 dth and chan should
have 11 , 500 dth on the interconnect .
july 2000 - deal # 871172 has an interconnect issue . according to mops contract # 105124 , they received 8 , 275 dth
on the matagorda 624 , but according to epgt , they delivered 10 , 362 dth to hpl ( ? ) could this possibly
need to be split somehow , or do you have any other ideas ?
let me know . thanks , gloria 3 - 7118",safe
"Subject: dell pentium 4 2 . 8 ghz system
$ 585 . 00
this dell system features a powerful
combination with the intel pentium 4 2 . 8 ghz processor
and 256 mb ram . a large 40 gb hard disk drive plays host
to microsoft windows xp home edition . a cd - rw drive ,
dvd - rom drive and a floppy disk drive are all
pre - installed . integrated graphics and integrated audio
are included to get you up and running
.
processor
ram
hdd
drive
o / s
others
p 4 2 . 8 ghz
256 mb
40 gb
dvd / cdrw + fdd
winxp home
vga + sound
visit : http : / / www . computron - me . com for deals !
your one stop
distributorjebel ali duty free zonewww . computron - me . com
for latest clearance sale listing contact our
sales department .
only limited quantities available on selected
specials ! ! ! !
if you have any
complaints / suggestions contact customerservice @ computron - me . com
compaq
hewlett packard
3 com
dell
intel
iomega
epson
aopen
creative
toshiba
apc
cisco
us
robotics
microsoft
canon
intellinet
targus
viewsonic
ibm
sony
- - - - - - - and lots more
! ! !
tel + 971 4 8834464
all prices in u . s . dollars , ex - works ,
fax + 971 4 8834454
jebel ali duty free zone
www . computron - me . com
prices and availability subject to change
usa - canada u . a . e .
without
notice .
to receive our special offers
in plain
text format reply to this
mail with the request * for export only
*
this
email can not be considered scam as long as we include : contact
information remove instructions . this message is intended for dealer
and resellers only . if you have somehow gotten on this list in error , or
for any other reason would like to be removed , please reply with "" remove
"" in the subject line of your message . this message is being sent to you
in compliance with the federal legislation for commercial e - mail
( h . r . 4176 - section 101 paragraph ( e ) ( 1 ) ( a ) and bill s . 1618 title iii
passed by the 105 th u . s . congress .
all logos and
trademarks are the property of their respective ownerstoshiba for export
only
products may not be exactly as shown
above
- -
to unsubscribe from : computron 8 , just follow this link :
click the link , or copy and paste the address into your browser .",scam
"Subject: enron / hpl actuals for july 18 , 2000
teco tap 10 . 000 / enron ; 65 . 000 / iferc
ls hpl lsk ic 30 . 000 / enron",safe
"Subject: updated spreadsheet
here is the lastest and greatest . please make sure that you look at this
carefully . there are some weird changes that happened . please make sure
that you forward this on to whom ever needs it .
if you have any questions , please feel free to call me .
julie",safe
